location[plate]	cellline	cellline[HMSLid]	treatmentfile	treatmentfile[DesignNumber]	untrt	location[well]	cellcount	Nuclei_LDR_NumberOfObjects	Nuclei_Hoechst_LDRpos_NumberOfObjects	readout[timestamp]	drug1[timestamp]	drug1	drug1[HMSLid]	drug1[conc]=uM	drug2[timestamp]	drug2	drug2[HMSLid]	drug2[conc]=uM	pert_type
MN20141030_B_01	BT20	HMSL50105	-	0	1	E02	1250	19	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E03	1366	31	82	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E04	1604	23	101	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E05	1335	18	90	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E06	1399	18	62	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E07	1827	25	100	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E08	2024	19	95	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E09	1755	22	115	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E10	1565	23	98	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E11	1529	29	88	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E12	1643	21	101	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E13	1615	20	92	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E14	1717	23	126	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E15	1642	27	94	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E16	1712	30	102	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E17	1676	18	97	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E18	1538	21	77	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E19	1572	28	104	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E20	1589	28	102	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E21	1499	22	84	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E22	1551	24	91	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E23	1536	22	100	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
MN20141030_B_01	BT20	HMSL50105	-	0	1	E24	1441	35	98	735906.7411	735906.7	-	-	0	735906.7	-	-	0	Untrt
