	P2_A1	P2_A2	P2_A3	P2_A4	P2_A5	P2_A6	P2_A7	P2_A8	P2_A9	P2_A10	P2_A11	P2_A12	P2_A13	P2_A14	P2_A15	P2_A16	P2_A17	P2_A18	P2_A19	P2_A20	P2_A21	P2_A22	P2_A23	P2_A24	P2_B1	P2_B2	P2_B3	P2_B4	P2_B5	P2_B6	P2_B7	P2_B8	P2_B9	P2_B10	P2_B11	P2_B12	P2_B13	P2_B14	P2_B15	P2_B16	P2_B17	P2_B18	P2_B19	P2_B20	P2_B21	P2_B22	P2_B23	P2_B24	P2_C1	P2_C2	P2_C3	P2_C4	P2_C5	P2_C6	P2_C7	P2_C8	P2_C9	P2_C10	P2_C11	P2_C12	P2_C13	P2_C14	P2_C15	P2_C16	P2_C17	P2_C18	P2_C19	P2_C20	P2_C21	P2_C22	P2_C23	P2_C24	P2_D1	P2_D2	P2_D3	P2_D4	P2_D5	P2_D6	P2_D7
ABCC6	3	1	0	34	1	0	0	4	5	18	1	3	0	6	0	0	0	0	0	0	1	0	0	0	10	3	4	1	0	1	3	6	1	9	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	4	1	0	0	1	0	4	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	4	2	5	1	2
ABCC6P1	1	1	0	10	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	1	1	1	31	0	1	0	3	1	14	0	5	0	3	0	0	0	0	0	0	0	0	0	0	2	4	6	1	0	0	2	4	0	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	1	0	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	1
ABCC8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
ABCC9	15	21	11	5	6	12	9	16	9	25	14	52	2	6	0	0	0	0	0	0	0	0	0	0	14	12	22	23	26	18	9	14	3	11	1	18	3	1	0	0	0	0	0	0	0	0	0	0	3	9	10	12	9	8	11	13	15	5	5	5	3	1	0	0	0	0	0	0	0	0	0	0	4	10	6	16	5	7	7
ABCD1	0	1	0	1	0	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCD3	57	72	20	19	70	18	39	37	38	196	30	46	41	56	0	0	0	0	0	0	0	0	0	0	62	43	107	35	30	67	46	50	26	85	29	109	18	20	0	0	0	0	0	0	0	0	0	0	35	62	43	38	38	50	22	77	57	38	11	10	21	25	0	0	0	0	0	0	0	0	0	1	43	57	30	53	7	16	15
ABCD4	27	7	3	5	5	9	3	5	4	19	7	17	6	6	0	0	0	0	0	0	0	0	0	0	16	13	12	8	10	9	7	7	6	8	9	10	9	3	0	0	0	0	0	0	0	0	0	0	5	7	4	5	1	6	7	4	11	36	3	2	8	4	0	0	0	0	0	0	0	0	0	0	0	10	17	16	5	4	2
ABCE1	264	88	29	72	40	53	75	87	99	178	80	317	66	201	0	0	0	0	0	0	0	0	0	0	179	122	86	174	247	85	101	72	37	71	51	100	41	50	0	0	0	0	0	0	0	0	0	0	50	77	53	59	39	85	61	63	40	111	26	41	129	52	0	0	0	0	0	0	0	0	1	0	34	63	73	122	45	98	49
ABCF1	287	52	43	66	49	78	75	103	55	201	124	121	163	138	0	0	0	0	0	0	1	0	0	0	310	88	87	207	99	293	123	133	40	150	59	163	38	142	0	0	0	0	0	0	0	0	0	0	62	89	51	99	68	88	202	170	82	130	35	54	98	55	0	0	0	0	0	0	0	0	0	0	105	66	119	143	21	112	48
ABCF2	30	27	17	14	12	23	28	28	14	77	44	69	33	20	0	0	0	0	0	0	0	0	0	0	64	29	24	63	47	28	15	18	16	20	25	32	8	29	0	0	0	0	0	0	0	0	0	0	10	22	11	18	8	16	46	36	55	41	12	17	59	28	0	0	0	0	0	0	0	0	0	0	20	62	26	34	6	37	33
ABCF3	38	6	5	12	10	6	10	10	6	45	5	7	4	21	0	0	0	0	0	0	0	0	0	0	21	13	17	10	5	13	9	11	6	8	11	15	3	4	0	0	0	0	0	0	0	0	0	0	4	20	10	16	7	2	4	14	7	9	5	6	14	7	0	0	0	0	0	0	0	0	0	1	9	8	8	8	3	9	4
ABCG1	4	1	6	3	0	0	1	3	14	43	0	6	1	7	0	0	0	0	0	0	0	0	0	0	17	20	24	0	3	1	10	2	1	33	26	10	5	0	0	0	0	0	0	0	0	0	0	0	2	2	25	38	8	7	0	0	1	5	0	7	15	3	0	0	0	0	0	0	0	0	0	1	0	0	1	2	3	11	4
ABCG2	0	0	1	0	1	0	0	0	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	4	0	0	2	1	0	5	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	3	0	13	1	2	0	2	0	0	0	0	0	0	0	0	0	0	2	2	3	4	1	0	2
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	2	2	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	144	34	9	38	21	34	47	32	41	56	23	118	12	54	0	0	0	0	0	0	0	0	0	0	62	42	32	29	82	16	30	19	21	30	61	51	24	27	0	0	0	0	0	0	0	0	0	0	17	39	14	51	36	45	30	43	8	35	9	24	13	16	0	0	0	0	0	0	0	0	0	0	28	18	31	41	24	13	13
ABHD11	11	7	12	26	9	9	8	10	15	53	6	28	3	12	0	0	0	0	0	0	0	0	0	0	32	64	24	11	16	12	13	24	3	60	34	53	7	2	0	0	0	0	0	0	0	0	0	0	6	7	24	23	19	9	5	4	14	6	1	13	15	6	0	0	0	0	0	0	0	0	0	0	3	4	8	10	13	16	4
ABHD12	26	19	5	16	12	2	3	4	9	20	13	15	11	9	0	0	0	0	0	0	1	0	0	0	12	30	12	30	11	28	12	47	5	27	37	56	5	3	0	0	0	0	0	0	0	0	0	0	13	12	11	28	5	13	2	3	3	23	4	6	13	9	0	0	0	0	0	0	0	0	0	0	5	6	17	34	8	25	8
ABHD12B	0	2	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	30	7	3	4	8	4	6	11	12	6	11	7	16	7	0	0	0	0	0	0	0	0	0	0	24	12	6	18	5	18	2	5	2	9	12	7	6	4	0	0	0	0	0	0	0	0	0	0	7	4	8	12	5	9	3	8	7	5	4	2	9	5	0	0	0	0	0	0	0	0	0	0	3	5	6	19	3	7	2
